sample_id,sample_date,stream_ion,ion_conc
Q2,1986-05-20,K,0.82
Q2,1986-05-20,Mg,2.86
Q2,1986-05-20,Ca,5.38
Q2,1986-05-20,NO3-N,225
Q2,1986-05-27,K,0.78
Q2,1986-05-27,Mg,3.17
Q2,1986-05-27,Ca,5.34
Q2,1986-05-27,NO3-N,195
Q2,1986-06-03,K,0.77
Q2,1986-06-03,Mg,2.98
Q2,1986-06-03,Ca,3.98
Q2,1986-06-03,NO3-N,206
Q2,1986-10-21,K,0.71
Q2,1986-10-21,Mg,2.43
Q2,1986-10-21,Ca,5.1
Q2,1986-10-21,NH4-N,9
Q2,1986-10-21,NO3-N,206
Q2,1986-10-28,K,0.73
Q2,1986-10-28,Mg,2.51
Q2,1986-10-28,Ca,5.04
Q2,1986-10-28,NH4-N,34
Q2,1986-10-28,NO3-N,47
Q2,1986-11-04,K,0.68
Q2,1986-11-04,Mg,2.62
Q2,1986-11-04,Ca,4.98
Q2,1986-11-04,NH4-N,10
Q2,1986-11-04,NO3-N,114
Q2,1986-11-10,K,0.74
Q2,1986-11-10,Mg,2.19
Q2,1986-11-10,Ca,4.79
Q2,1986-11-10,NH4-N,34
Q2,1986-11-10,NO3-N,313
Q2,1986-11-18,K,0.72
Q2,1986-11-18,Mg,2.4
Q2,1986-11-18,Ca,4.82
Q2,1986-11-18,NH4-N,26
Q2,1986-11-18,NO3-N,353
Q2,1986-11-25,K,0.92
Q2,1986-11-25,Mg,1.31
Q2,1986-11-25,Ca,3.2
Q2,1986-11-25,NO3-N,414
Q2,1986-12-02,K,0.68
Q2,1986-12-02,Mg,2.46
Q2,1986-12-02,Ca,4.87
Q2,1986-12-02,NH4-N,12
Q2,1986-12-02,NO3-N,262
Q2,1986-12-09,K,0.67
Q2,1986-12-09,Mg,2.68
Q2,1986-12-09,Ca,4.86
Q2,1986-12-09,NH4-N,11
Q2,1986-12-09,NO3-N,249
Q2,1986-12-16,K,0.66
Q2,1986-12-16,Mg,2.64
Q2,1986-12-16,Ca,4.79
Q2,1986-12-16,NH4-N,10
Q2,1986-12-16,NO3-N,240
Q2,1986-12-23,K,0.6
Q2,1986-12-23,Mg,2.76
Q2,1986-12-23,Ca,5.13
Q2,1986-12-23,NH4-N,23
Q2,1986-12-23,NO3-N,157
Q2,1986-12-30,K,0.64
Q2,1986-12-30,Mg,2.71
Q2,1986-12-30,Ca,4.88
Q2,1986-12-30,NH4-N,20
Q2,1986-12-30,NO3-N,202
Q2,1987-01-05,K,0.68
Q2,1987-01-05,Mg,2.71
Q2,1987-01-05,Ca,4.5
Q2,1987-01-05,NH4-N,25
Q2,1987-01-05,NO3-N,309
Q2,1987-01-13,K,0.62
Q2,1987-01-13,Mg,2.69
Q2,1987-01-13,Ca,5.2
Q2,1987-01-13,NH4-N,18
Q2,1987-01-13,NO3-N,242
Q2,1987-01-20,K,0.76
Q2,1987-01-20,Mg,2.73
Q2,1987-01-20,Ca,5.25
Q2,1987-01-20,NH4-N,19
Q2,1987-01-20,NO3-N,338
Q2,1987-01-27,K,0.63
Q2,1987-01-27,Mg,2.73
Q2,1987-01-27,Ca,5.24
Q2,1987-01-27,NH4-N,23
Q2,1987-01-27,NO3-N,232
Q2,1987-02-03,K,0.66
Q2,1987-02-03,Mg,2.67
Q2,1987-02-03,Ca,4.85
Q2,1987-02-03,NH4-N,26
Q2,1987-02-03,NO3-N,210
Q2,1987-02-10,K,0.71
Q2,1987-02-10,Mg,2.69
Q2,1987-02-10,Ca,5.03
Q2,1987-02-10,NH4-N,27
Q2,1987-02-10,NO3-N,212
Q2,1987-02-17,K,0.73
Q2,1987-02-17,Mg,2.75
Q2,1987-02-17,Ca,4.41
Q2,1987-02-17,NH4-N,7
Q2,1987-02-17,NO3-N,208
Q2,1987-02-24,K,0.67
Q2,1987-02-24,Mg,2.76
Q2,1987-02-24,Ca,5.12
Q2,1987-02-24,NO3-N,186
Q2,1987-03-03,K,0.72
Q2,1987-03-03,Mg,2.87
Q2,1987-03-03,Ca,5.24
Q2,1987-03-03,NH4-N,8
Q2,1987-03-10,K,0.74
Q2,1987-03-10,Mg,2.81
Q2,1987-03-10,Ca,5.09
Q2,1987-03-10,NH4-N,7
Q2,1987-03-10,NO3-N,204
Q2,1987-03-18,K,0.96
Q2,1987-03-18,Mg,2.58
Q2,1987-03-18,Ca,5.15
Q2,1987-03-18,NH4-N,6
Q2,1987-03-18,NO3-N,212
Q2,1987-03-24,K,1.02
Q2,1987-03-24,Mg,2.07
Q2,1987-03-24,Ca,4.19
Q2,1987-03-24,NH4-N,8
Q2,1987-03-24,NO3-N,293
Q2,1987-03-31,K,0.9
Q2,1987-03-31,Mg,2.53
Q2,1987-03-31,Ca,5.15
Q2,1987-03-31,NH4-N,9
Q2,1987-03-31,NO3-N,211
Q2,1987-04-07,K,0.93
Q2,1987-04-07,Mg,2.8
Q2,1987-04-07,Ca,5.22
Q2,1987-04-07,NH4-N,11
Q2,1987-04-07,NO3-N,211
Q2,1987-04-14,K,1.08
Q2,1987-04-14,Mg,1.55
Q2,1987-04-14,Ca,3.88
Q2,1987-04-14,NH4-N,15
Q2,1987-04-14,NO3-N,292
Q2,1987-04-21,K,0.97
Q2,1987-04-21,Mg,2.6
Q2,1987-04-21,Ca,5.08
Q2,1987-04-21,NH4-N,9
Q2,1987-04-21,NO3-N,257
Q2,1987-04-28,K,0.92
Q2,1987-04-28,Mg,2.65
Q2,1987-04-28,Ca,4.98
Q2,1987-04-28,NH4-N,21
Q2,1987-04-28,NO3-N,244
Q2,1987-05-05,K,0.86
Q2,1987-05-05,Mg,2.5
Q2,1987-05-05,Ca,5.63
Q2,1987-05-05,NH4-N,7
Q2,1987-05-05,NO3-N,232
Q2,1987-05-12,K,0.94
Q2,1987-05-12,Mg,1.99
Q2,1987-05-12,Ca,4.17
Q2,1987-05-12,NH4-N,96
Q2,1987-05-19,K,1
Q2,1987-05-19,Mg,1.75
Q2,1987-05-19,Ca,3.64
Q2,1987-05-19,NH4-N,91
Q2,1987-05-26,K,0.91
Q2,1987-05-26,Mg,2.24
Q2,1987-05-26,Ca,4.39
Q2,1987-05-26,NH4-N,92
Q2,1987-05-26,NO3-N,372
Q2,1987-06-02,K,0.88
Q2,1987-06-02,Mg,2.59
Q2,1987-06-02,Ca,5
Q2,1987-06-02,NH4-N,82
Q2,1987-06-02,NO3-N,246
Q2,1987-06-09,K,0.82
Q2,1987-06-09,Mg,2.65
Q2,1987-06-09,Ca,4.99
Q2,1987-06-09,NH4-N,95
Q2,1987-06-09,NO3-N,132
Q2,1987-06-16,K,0.85
Q2,1987-06-16,Mg,2.33
Q2,1987-06-16,Ca,4.9
Q2,1987-06-16,NH4-N,92
Q2,1987-06-16,NO3-N,254
Q2,1987-06-23,K,0.82
Q2,1987-06-23,Mg,2.18
Q2,1987-06-23,Ca,4.3
Q2,1987-06-23,NH4-N,94
Q2,1987-06-23,NO3-N,235
Q2,1987-06-30,K,0.78
Q2,1987-06-30,Mg,2.59
Q2,1987-06-30,Ca,4.89
Q2,1987-06-30,NH4-N,85
Q2,1987-06-30,NO3-N,226
Q2,1987-07-07,K,0.78
Q2,1987-07-07,Mg,2.44
Q2,1987-07-07,Ca,5.02
Q2,1987-07-07,NH4-N,96
Q2,1987-07-07,NO3-N,250
Q2,1987-07-14,K,0.82
Q2,1987-07-14,Mg,2.62
Q2,1987-07-14,Ca,5.15
Q2,1987-07-14,NH4-N,26
Q2,1987-07-14,NO3-N,216
Q2,1987-07-21,K,0.85
Q2,1987-07-21,Mg,2.47
Q2,1987-07-21,Ca,4.86
Q2,1987-07-21,NH4-N,28
Q2,1987-07-21,NO3-N,286
Q2,1987-07-28,K,0.77
Q2,1987-07-28,Mg,2.54
Q2,1987-07-28,Ca,5.13
Q2,1987-07-28,NH4-N,38
Q2,1987-07-28,NO3-N,250
Q2,1987-08-04,K,0.84
Q2,1987-08-04,Mg,2.65
Q2,1987-08-04,Ca,5.19
Q2,1987-08-04,NH4-N,26
Q2,1987-08-04,NO3-N,223
Q2,1987-08-11,K,0.83
Q2,1987-08-11,Mg,2.83
Q2,1987-08-11,Ca,5.35
Q2,1987-08-11,NH4-N,43
Q2,1987-08-11,NO3-N,173
Q2,1987-08-18,K,0.87
Q2,1987-08-18,Mg,2.65
Q2,1987-08-18,Ca,4.9
Q2,1987-08-18,NH4-N,29
Q2,1987-08-18,NO3-N,167
Q2,1987-08-25,K,0.81
Q2,1987-08-25,Mg,2.49
Q2,1987-08-25,Ca,4.92
Q2,1987-08-25,NH4-N,21
Q2,1987-08-25,NO3-N,101
Q2,1987-09-01,K,0.84
Q2,1987-09-01,Mg,2.47
Q2,1987-09-01,Ca,4.71
Q2,1987-09-01,NH4-N,22
Q2,1987-09-01,NO3-N,207
Q2,1987-09-08,K,0.8
Q2,1987-09-08,Mg,2.73
Q2,1987-09-08,Ca,5.05
Q2,1987-09-08,NH4-N,15
Q2,1987-09-08,NO3-N,194
Q2,1987-09-15,K,0.81
Q2,1987-09-15,Mg,2.49
Q2,1987-09-15,Ca,4.87
Q2,1987-09-15,NH4-N,16
Q2,1987-09-15,NO3-N,201
Q2,1987-09-22,K,0.8
Q2,1987-09-22,Mg,2.64
Q2,1987-09-22,Ca,5.01
Q2,1987-09-22,NH4-N,6
Q2,1987-09-22,NO3-N,279
Q2,1987-09-29,K,0.84
Q2,1987-09-29,Mg,2.57
Q2,1987-09-29,Ca,5
Q2,1987-09-29,NH4-N,14
Q2,1987-09-29,NO3-N,389
Q2,1987-10-05,K,0.94
Q2,1987-10-05,Mg,0.79
Q2,1987-10-05,Ca,2.16
Q2,1987-10-05,NH4-N,62
Q2,1987-10-05,NO3-N,200
Q2,1987-10-05,K,0.87
Q2,1987-10-05,Mg,0.72
Q2,1987-10-05,Ca,1.76
Q2,1987-10-05,NH4-N,68
Q2,1987-10-05,NO3-N,293
Q2,1987-10-05,K,0.92
Q2,1987-10-05,Mg,0.66
Q2,1987-10-05,Ca,1.77
Q2,1987-10-05,NH4-N,48
Q2,1987-10-05,NO3-N,285
Q2,1987-10-05,K,0.92
Q2,1987-10-05,Mg,0.8
Q2,1987-10-05,Ca,1.7
