sample_id,sample_date,stream_ion,ion_conc
MPR,1990-04-03,K,0.93
MPR,1990-04-03,Mg,2.15
MPR,1990-04-03,Ca,8.32
MPR,1990-04-03,NO3-N,123
MPR,1990-04-10,K,1
MPR,1990-04-10,Mg,2.42
MPR,1990-04-10,Ca,10.45
MPR,1990-04-10,NO3-N,124
MPR,1990-04-17,K,0.99
MPR,1990-04-17,Mg,2.16
MPR,1990-04-17,Ca,9.07
MPR,1990-04-17,NO3-N,130
MPR,1990-04-24,K,0.99
MPR,1990-04-24,Mg,2.41
MPR,1990-04-24,Ca,10.48
MPR,1990-04-24,NO3-N,10
MPR,1990-05-01,K,1.01
MPR,1990-05-01,Mg,2.14
MPR,1990-05-01,Ca,8.95
MPR,1990-05-01,NO3-N,183
MPR,1990-05-08,K,1.01
MPR,1990-05-08,Mg,2.44
MPR,1990-05-08,Ca,10.49
MPR,1990-05-08,NO3-N,17
MPR,1990-05-15,K,0.95
MPR,1990-05-15,Mg,1.7
MPR,1990-05-15,Ca,8.31
MPR,1990-05-15,NO3-N,250
MPR,1990-05-22,K,1
MPR,1990-05-22,Mg,2.33
MPR,1990-05-22,Ca,10.22
MPR,1990-05-22,NO3-N,117
MPR,1990-05-29,K,1.07
MPR,1990-05-29,Mg,2.12
MPR,1990-05-29,Ca,9.24
MPR,1990-05-29,NO3-N,217
MPR,1990-06-05,K,1.01
MPR,1990-06-05,Mg,2.03
MPR,1990-06-05,Ca,8.75
MPR,1990-06-05,NO3-N,212
MPR,1990-06-12,K,1
MPR,1990-06-12,Mg,2.11
MPR,1990-06-12,Ca,9.06
MPR,1990-06-12,NO3-N,213
MPR,1990-06-19,K,0.94
MPR,1990-06-19,Mg,2.12
MPR,1990-06-19,Ca,8.42
MPR,1990-06-19,NO3-N,184
MPR,1990-06-26,K,0.87
MPR,1990-06-26,Mg,1.58
MPR,1990-06-26,Ca,6.25
MPR,1990-06-26,NO3-N,237
MPR,1990-07-03,K,0.95
MPR,1990-07-03,Mg,2.42
MPR,1990-07-03,Ca,10.04
MPR,1990-07-03,NO3-N,129
MPR,1990-07-10,K,0.91
MPR,1990-07-10,Mg,2.35
MPR,1990-07-10,Ca,9.93
